title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
Summer Beats,2026-01-07,movie,112.0,1.0,1.0,Comedy,"Lise Akoka, Romane Gueret","Fanta Kebe, Shirel Nataf, Zakaria-Tayeb Lazab, Mouctar Diawara, Idir Azougli",FR,fr,"Superstructure, Auvergne-Rhône-Alpes Cinéma, France 3 Cinéma, StudioCanal","Paris, a working-class neighborhood in the 19th arrondissement. Shaï and Djeneba are 19 years old and have been friends since childhood. One is burdened by an overbearing family. The other by deep loneliness. Over the course of a summer, they work as counselors at a summer camp, far from the tower blocks where they grew up—no longer quite children, yet officially responsible for a group of kids aged 6 to 10. On the cusp of adulthood, they will have to make choices to grow up and reinvent their friendship."," family,  short film, dark comedy",0.0,0,"Paris, a working-class neighborhood in the 19th arrondissement. Shaï and Djeneba are 19 years old and have been friends since childhood. One is burdened by an overbearing family. The other by deep loneliness. Over the course of a summer, they work as counselors at a summer camp, far from the tower blocks where they grew up—no longer quite children, yet officially responsible for a group of kids aged 6 to 10. On the cusp of adulthood, they will have to make choices to grow up and reinvent their friendship. Comedy",0,0,0
Angel,2026-01-01,movie,22.0,1.0,1.0,Comedy,Anna Koukouli Born,"Nicole Ansari-Cox, Rachael Hip-Flores, Jarrod Bogan, Nancy Frazen, Marcus Rucks",US,en,"Bougie Arabs Entertainment, We Make Movies, LiLifornia Diaries Productions","The two adult kids of an alcoholic retired Navy Officer, maneuver their way through his funeral preparations and grief, by trying to put his unfinished last beer in the coffin, so he won't get sober in the afterlife.","dark comedy, grief, family",0.0,0,"The two adult kids of an alcoholic retired Navy Officer, maneuver their way through his funeral preparations and grief, by trying to put his unfinished last beer in the coffin, so he won't get sober in the afterlife. Comedy",0,0,0
Wrong House,2026-12-04,movie,90.0,1.0,1.0,"Mystery, Action, Horror",Josiah Eni,"Josiah Eni, Lilly Allen",US,en,Josiah productions,"Due to a winter storm and troubles with their car, college students are forced to stop at an estate, in the middle of nowhere, hoping for their aid.","isolation, winter, haunted house, survival",0.0,0,"Due to a winter storm and troubles with their car, college students are forced to stop at an estate, in the middle of nowhere, hoping for their aid. Mystery, Action, Horror",0,0,0
Sculpture,2026-05-01,movie,90.0,1.0,1.0,Drama,"Sea Sombar, Basil Lee","Tika Gill, Josephine Squillante",US,en,Prism Productions,"After a local woman is murdered and martyrized for being queer, a lesbian couple discusses their own fears."," family,  short film, dark comedy",0.0,0,"After a local woman is murdered and martyrized for being queer, a lesbian couple discusses their own fears. Drama",0,0,0
Coming Out,2026-10-23,movie,110.0,1.0,1.0,"Romance, Comedy, Drama, Horror",Josiah Eni,Josiah Eni,US,en,Josiah productions,"John just has a simple crush on his best friend. Adding on to his issues, with his dead dad and mommy issues, his best friend is the only person he trusts. His mommy issues are tested when something happens to her, causing him to stay with his best friend. With his now close to perfect life, he tries his best to get his crush to fall in love with him.","coming out, romance, best friends",0.0,0,"John just has a simple crush on his best friend. Adding on to his issues, with his dead dad and mommy issues, his best friend is the only person he trusts. His mommy issues are tested when something happens to her, causing him to stay with his best friend. With his now close to perfect life, he tries his best to get his crush to fall in love with him. Romance, Comedy, Drama, Horror",0,0,0
The Legendaries,2026-01-28,movie,90.0,1.0,1.0,"Action, Adventure, Animation, Comedy, Family, Fantasy",Guillaume Ivernel,unknown,FR,fr,"Pan-Européenne, Belvision, Maybe Movies, Ellipsanime Productions","They are brave, intrepid, indomitable, and they turned back to children! While fighting the terrible sorcerer Darkhell, the official heros of Alysia: The Legendaries accidentally broke the Jovenia stone, the one of eternal youth. This is how the whole kingdom of Alysia, and especially our champions, has fallen back into childhood. No more birth, but people keep on dying of accident or sickness… Humanity is then doomed to extinction. A real curse! And quite a blow to the myth of ""The Legendaries"". The five warriors, formerly admired, have now to lie low… Today blamed and discredited, they are well decided to break the spell and fix their mistake. ""Nothing is impossible for a willing heart""… Even at 10!"," family,  short film, dark comedy",0.0,0,"They are brave, intrepid, indomitable, and they turned back to children! While fighting the terrible sorcerer Darkhell, the official heros of Alysia: The Legendaries accidentally broke the Jovenia stone, the one of eternal youth. This is how the whole kingdom of Alysia, and especially our champions, has fallen back into childhood. No more birth, but people keep on dying of accident or sickness… Humanity is then doomed to extinction. A real curse! And quite a blow to the myth of ""The Legendaries"". The five warriors, formerly admired, have now to lie low… Today blamed and discredited, they are well decided to break the spell and fix their mistake. ""Nothing is impossible for a willing heart""… Even at 10! Action, Adventure, Animation, Comedy, Family, Fantasy",0,1,0
Wrong House,2026-12-04,movie,90.0,1.0,1.0,"Mystery, Action, Horror",Josiah Eni,"Josiah Eni, Lilly Allen",US,en,Josiah productions,"Due to a winter storm and troubles with their car, college students are forced to stop at an estate, in the middle of nowhere, hoping for their aid.","isolation, winter, haunted house, survival",0.0,0,"Due to a winter storm and troubles with their car, college students are forced to stop at an estate, in the middle of nowhere, hoping for their aid. Mystery, Action, Horror",0,0,0
Sculpture,2026-05-01,movie,90.0,1.0,1.0,Drama,"Sea Sombar, Basil Lee","Tika Gill, Josephine Squillante",US,en,Prism Productions,"After a local woman is murdered and martyrized for being queer, a lesbian couple discusses their own fears."," family,  short film, dark comedy",0.0,0,"After a local woman is murdered and martyrized for being queer, a lesbian couple discusses their own fears. Drama",0,0,0
Resurrection,2026-04-01,movie,18.0,1.0,1.0,"Drama, Romance, Thriller, Comedy",Sam Zaslow-Braverman,"Susannah Berryman, Danny Ashkenasi, Isaac J. Conner, Dane Cruz, Norman W. Johnson",US,en,"Room With No Name, Red Castle Films, Waessa Productions","In the wake of a traumatic incident at a funeral, an aging widow is faced with a bizarre, impossible choice.","dark comedy, surreal, melancholy, surrealism, romance, sociopath, family, death, austere, short film, science fiction, suspense, fantasy",0.0,0,"In the wake of a traumatic incident at a funeral, an aging widow is faced with a bizarre, impossible choice. Drama, Romance, Thriller, Comedy",0,0,0
Summer Beats,2026-01-07,movie,112.0,1.0,1.0,Comedy,"Lise Akoka, Romane Gueret","Fanta Kebe, Shirel Nataf, Zakaria-Tayeb Lazab, Mouctar Diawara, Idir Azougli",FR,fr,"Superstructure, Auvergne-Rhône-Alpes Cinéma, France 3 Cinéma, StudioCanal","Paris, a working-class neighborhood in the 19th arrondissement. Shaï and Djeneba are 19 years old and have been friends since childhood. One is burdened by an overbearing family. The other by deep loneliness. Over the course of a summer, they work as counselors at a summer camp, far from the tower blocks where they grew up—no longer quite children, yet officially responsible for a group of kids aged 6 to 10. On the cusp of adulthood, they will have to make choices to grow up and reinvent their friendship."," family,  short film, dark comedy",0.0,0,"Paris, a working-class neighborhood in the 19th arrondissement. Shaï and Djeneba are 19 years old and have been friends since childhood. One is burdened by an overbearing family. The other by deep loneliness. Over the course of a summer, they work as counselors at a summer camp, far from the tower blocks where they grew up—no longer quite children, yet officially responsible for a group of kids aged 6 to 10. On the cusp of adulthood, they will have to make choices to grow up and reinvent their friendship. Comedy",0,0,0
Valencia - Chapter IV: Albacete,2026-05-30,movie,25.0,1.0,1.0,"Horror, Thriller",Nicolás de Jesús,"Marco Valdovinos, Sergio Yeudiel, Amayrani Luna, Mike Lightwood, Dhani Marie Dalí","MX, ES",es,"Walt Nick's Pictures, MAVV, A. J. Luna Producciones","The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn.","single take, urban legends",0.0,0,"The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn. Horror, Thriller",0,0,0
Missoula,2026-05-22,movie,136.0,1.0,1.0,Drama,Harley Konieczka,"Addy McKnight, Aidan O’Brien, David Hodge, Jay Zimmerman, Walter Beesley",US,en,Harleywood Pictures,Montana 1998. The lives of a wide kaleidoscope of characters intertwine in a dramatic fashion as the romance between Clara-Belle and Rebecca tightens.," family,  romance,  short film, dark comedy",0.0,0,Montana 1998. The lives of a wide kaleidoscope of characters intertwine in a dramatic fashion as the romance between Clara-Belle and Rebecca tightens. Drama,0,0,0
Angel,2026-01-01,movie,22.0,1.0,1.0,Comedy,Anna Koukouli Born,"Nicole Ansari-Cox, Rachael Hip-Flores, Jarrod Bogan, Nancy Frazen, Marcus Rucks",US,en,"Bougie Arabs Entertainment, We Make Movies, LiLifornia Diaries Productions","The two adult kids of an alcoholic retired Navy Officer, maneuver their way through his funeral preparations and grief, by trying to put his unfinished last beer in the coffin, so he won't get sober in the afterlife.","dark comedy, grief, family",0.0,0,"The two adult kids of an alcoholic retired Navy Officer, maneuver their way through his funeral preparations and grief, by trying to put his unfinished last beer in the coffin, so he won't get sober in the afterlife. Comedy",0,0,0
The Fall of Barsisa,2026-10-02,movie,90.0,1.0,1.0,"Fantasy, Adventure, Horror",Ayaan Bhatti,"Ashutoshkumar Jha, Joshua Johansson, Caitlin Finney, Zane Ishaq, Abdin Khan",US,en,All In Entertainment,A modern reimagining of the fable of the same name. Three brothers leave their ailing sister in the company of a devout and honourable figure as they are guided by an ambiguous stranger through treacherous terrain in search of a remedy.," family,  short film, dark comedy",0.0,0,"A modern reimagining of the fable of the same name. Three brothers leave their ailing sister in the company of a devout and honourable figure as they are guided by an ambiguous stranger through treacherous terrain in search of a remedy. Fantasy, Adventure, Horror",0,0,0
Elegy to a Missing Friend,2026-02-10,movie,95.0,1.0,1.0,"Drama, Science Fiction",Adelaide Sherry,"Shea Chia En, Alexandra Chin, Bellatrix Yu-Hwee Tan, James Shutler","AU, SG",en,In Limbo Productions,"In the aftermath of her friend's passing, an artist processes her grief by making a film. She weaves her personal archival footage and an unfinished science-fiction narrative into a deeply raw and emotive work of art.",mood piece,0.0,0,"In the aftermath of her friend's passing, an artist processes her grief by making a film. She weaves her personal archival footage and an unfinished science-fiction narrative into a deeply raw and emotive work of art. Drama, Science Fiction",0,0,0
Narco Shark Zero,2026-08-18,movie,66.0,1.0,1.0,,Gerardo Preciado,"Leonardo Preciado, Ricky Valente",US,en,unknown,Prequel to 'Narco Shark'," family,  short film, dark comedy",0.0,0,Prequel to 'Narco Shark' ,1,0,0
Starlight,2026-02-04,movie,180.0,1.0,1.0,"Drama, Romance",Michael Brando,Michael Brando,US,en,unknown,"Spanning multiple generations and continents, Starlight follows the poignant journeys of four main characters as they traverse the bittersweet chapters of their lives, culminating in their ultimate struggles to overcome overwhelming obstacles relating to cancer. Yet, the heart of the film lies beyond the disease itself; it is a narrative of hope celebrating the power and perseverance of the human spirit, embodied and personified by these characters and their ability to triumph spectacularly against all odds."," family,  short film, dark comedy",0.0,0,"Spanning multiple generations and continents, Starlight follows the poignant journeys of four main characters as they traverse the bittersweet chapters of their lives, culminating in their ultimate struggles to overcome overwhelming obstacles relating to cancer. Yet, the heart of the film lies beyond the disease itself; it is a narrative of hope celebrating the power and perseverance of the human spirit, embodied and personified by these characters and their ability to triumph spectacularly against all odds. Drama, Romance",1,0,0
SCHMOOPY,2026-01-01,movie,21.0,1.0,1.0,"Drama, Comedy",Sam van der Plas,"Sahil Amar Aïssa, Ayisha Siddiqi, Fred van der Hilst, Laura Bakker, Selin Akkulak",NL,nl,"Nozem Films, ROSE Stories","A once-beloved puppet star of the 90s faces obscurity and crippling debt to a ruthless drug dealer. After being fired from his TV network, he hatches a desperate plan to reclaim his fame and save his life.",surreal psychological drama,0.0,0,"A once-beloved puppet star of the 90s faces obscurity and crippling debt to a ruthless drug dealer. After being fired from his TV network, he hatches a desperate plan to reclaim his fame and save his life. Drama, Comedy",0,0,0
Lost in Tomorrow,2026-01-22,movie,13.0,1.0,1.0,"Drama, Romance, Science Fiction",Zak Norris,"Yağmur Carmel, Jacob Bradley, Elliot Hicks, David Pinnock",GB,en,unknown,"Julie, devestated after the passing of her best friend Matt, struggles to navigate a world ready to forget him."," family,  romance,  short film, dark comedy",0.0,0,"Julie, devestated after the passing of her best friend Matt, struggles to navigate a world ready to forget him. Drama, Romance, Science Fiction",1,0,0
5D,2026-01-01,movie,12.0,1.0,1.0,"Drama, Thriller",Lance Sorenson,"Chloe Rodriques, Jacob Coggshall, Zofia Ossowska",US,en,unknown,A grieving woman reflects on the toxic relationship she had with her recently deceased boyfriend.," family,  romance,  short film, dark comedy",0.0,0,"A grieving woman reflects on the toxic relationship she had with her recently deceased boyfriend. Drama, Thriller",1,0,0
The Naughty List,2026-12-24,movie,30.0,1.0,1.0,"Horror, Thriller","Robyn Zabukovec, Spencer Poole","Tadhg Bristow, Keeghan Bristow, Sarah Stobbe, Riley Cairns, Keegan Rawcliffe",US,en,"Midnight Eye Productions, Orange Hat Media",A psychotic killer takes it upon himself to decide who is “naughty” or “nice”," family,  short film, dark comedy",0.0,0,"A psychotic killer takes it upon himself to decide who is “naughty” or “nice” Horror, Thriller",0,0,0
The Good Sister,2026-01-08,movie,97.0,1.0,1.0,Drama,Sarah Miro Fischer,"Marie Bloching, Anton Weil, Proschat Madani, Laura Balzer, Jane Chirwa","ES, DE",de,"Nephilim Producciones, RBB, Arkanum Pictures, Deutsche Film- und Fernsehakademie Berlin (DFFB)","Rose is very close to her older brother Sam. When a woman accuses him of rape, Rose is asked to testify in the investigation against him. This tests both their relationship and her moral integrity."," family,  short film, dark comedy",0.0,0,"Rose is very close to her older brother Sam. When a woman accuses him of rape, Rose is asked to testify in the investigation against him. This tests both their relationship and her moral integrity. Drama",0,0,0
Valkryie,2026-06-26,movie,60.0,1.0,1.0,"Action, Thriller",Brandon Gupta,unknown,US,en,unknown,The upcoming movie from Frameatic Studios.," family,  short film, dark comedy, epic",0.0,0,"The upcoming movie from Frameatic Studios. Action, Thriller",1,1,0
El Búnker,2026-08-21,movie,9.0,1.0,1.0,,Sonia Moura,unknown,PY,es,unknown,"After several years of silence of the LGBTIQ+ community because of a national decree, a group of friends organized a big attack to be free and have the right to speak in public again."," family,  short film, dark comedy",0.0,0,"After several years of silence of the LGBTIQ+ community because of a national decree, a group of friends organized a big attack to be free and have the right to speak in public again. ",1,1,0
A Story of Superhero,2026-01-01,movie,60.0,1.0,1.0,"Action, Adventure",Amirhosein Jafari,unknown,US,en,unknown,It tells the story of an original superhero named Puncher who fights a sorcerer who intends to control the city.," family,  short film, dark comedy",0.0,0,"It tells the story of an original superhero named Puncher who fights a sorcerer who intends to control the city. Action, Adventure",1,1,0
Starlight,2026-02-04,movie,180.0,1.0,1.0,"Drama, Romance",Michael Brando,Michael Brando,US,en,unknown,"Spanning multiple generations and continents, Starlight follows the poignant journeys of four main characters as they traverse the bittersweet chapters of their lives, culminating in their ultimate struggles to overcome overwhelming obstacles relating to cancer. Yet, the heart of the film lies beyond the disease itself; it is a narrative of hope celebrating the power and perseverance of the human spirit, embodied and personified by these characters and their ability to triumph spectacularly against all odds."," family,  short film, dark comedy",0.0,0,"Spanning multiple generations and continents, Starlight follows the poignant journeys of four main characters as they traverse the bittersweet chapters of their lives, culminating in their ultimate struggles to overcome overwhelming obstacles relating to cancer. Yet, the heart of the film lies beyond the disease itself; it is a narrative of hope celebrating the power and perseverance of the human spirit, embodied and personified by these characters and their ability to triumph spectacularly against all odds. Drama, Romance",1,0,0
Doomsday,2026-01-01,movie,15.0,1.0,1.0,,Jade Magno McGovern,"Parker Mason, Mea Allen, Cee Pham, Fintan Swift, Eric Lewis",US,en,unknown,"On his final night in Chicago, a young actor, with the help of his twin sister, says his goodbye to the first city he called home."," family,  short film, dark comedy, epic",0.0,0,"On his final night in Chicago, a young actor, with the help of his twin sister, says his goodbye to the first city he called home. ",1,0,0
Vinland,2026-07-07,movie,55.0,1.0,1.0,"Drama, Action, History",Nasser Azzeh,"Yousef Abu Yasin, Moayad Alatiyat, Nasser Azzeh, Hamzeh Azzeh, Adam Aburahmeh",JO,en,Camnema Pictures,When a young boy carving his way from slavery to freedom. he face challenges that will shape his future personality and decisions.,"epic, villain, love, bloody fight, angry young man, history and legacy, dramatic, running in the woods",0.0,0,"When a young boy carving his way from slavery to freedom. he face challenges that will shape his future personality and decisions. Drama, Action, History",0,0,0
Xarax,2026-01-01,movie,13.0,1.0,1.0,"Horror, Mystery",Salil Jason Fernandez,"Neil Bhoopalam, Farzana Palathingal",IN,en,"Digital Rabbit, Earth Films, Veloche","A young priest visits a convent in Mumbai where a brutal exorcism has failed—what he finds inside is not just a demon, but a mirror to his own darkest desires.","based on myths, legends or folklore, short film, low budget, indian mythology, horror short film",0.0,0,"A young priest visits a convent in Mumbai where a brutal exorcism has failed—what he finds inside is not just a demon, but a mirror to his own darkest desires. Horror, Mystery",0,0,0
UNTIL NEXT TIME,2026-04-23,movie,8.0,1.0,1.0,"Horror, Thriller, Mystery",Michael Hook,"Lincoln Stone, Cliff Folds, Milton Lyles, Catherine Cavenaugh, Dylan Bergeson",US,en,"Ringling College Studio Labs, Ringling College of Art + Design, Hook_Productions","After the death of his fiance, Cara, Wyatt, an emotionally explosive young man, struggles to cope with his grief and growing resentment for his reserved friend and roommate, Matt, who’s struggling with demons of his own. While Wyatt wallows in his self-loathing at the burial, he is approached by the cryptic Mysterious Man. Who offers him friendship and a chance to bring Cara back through a ritual. As tensions between Wyatt and Matt escalate, and his knowledge of the ritual expands. Wyatt learns the dark cost of what the ritual entails…","paranoia, demonic possession, satanic ritual, horror, unttheshortfilm, until next time",0.0,0,"After the death of his fiance, Cara, Wyatt, an emotionally explosive young man, struggles to cope with his grief and growing resentment for his reserved friend and roommate, Matt, who’s struggling with demons of his own. While Wyatt wallows in his self-loathing at the burial, he is approached by the cryptic Mysterious Man. Who offers him friendship and a chance to bring Cara back through a ritual. As tensions between Wyatt and Matt escalate, and his knowledge of the ritual expands. Wyatt learns the dark cost of what the ritual entails… Horror, Thriller, Mystery",0,0,0
LEGO Zatanna,2026-10-31,movie,50.0,1.0,1.0,,Cassi Archives,"Cassi Archives, Jori Raine, The Lego Knight, Doc",US,en,unknown,"After the events of Justice League Dark: Till Death Do Us Part, Zatanna steps away from the super-hero life returns to her job as a stage magician, However her plans are quickly thwarted when Shay Constantine reappears in her life asking for help. Zatanna, Shay and June will take on cultists and an evil witch who's closer than the group than they may expect."," family, dark comedy",0.0,0,"After the events of Justice League Dark: Till Death Do Us Part, Zatanna steps away from the super-hero life returns to her job as a stage magician, However her plans are quickly thwarted when Shay Constantine reappears in her life asking for help. Zatanna, Shay and June will take on cultists and an evil witch who's closer than the group than they may expect. ",1,0,0
Hoodie,2026-01-01,movie,45.0,1.0,1.0,"Drama, Romance",Jacob Rohrbach,"Madeline Cooper, Bre Beverly, Delaney Morgan, Drake Dalgleish, Ashton Ruiz",US,en,Dark Fire Productions,Three friends go for a night on the town in order to help their friend get over what seemed to be the perfect relationship.," family,  romance,  short film, dark comedy",0.0,0,"Three friends go for a night on the town in order to help their friend get over what seemed to be the perfect relationship. Drama, Romance",0,0,0
Marie-Rose and the Mysterious Journey,2026-12-31,movie,70.0,1.0,1.0,"Animation, Music, Family","Tanguy de Kermel, Jérome Mouscadet",unknown,FR,fr,Mangouste Anim,Marie-Rose and the Mysterious Journey is an animated 3D feature film based on the iconic show of Chantal Goya.," family,  short film, dark comedy",0.0,0,"Marie-Rose and the Mysterious Journey is an animated 3D feature film based on the iconic show of Chantal Goya. Animation, Music, Family",0,1,0
Vinland,2026-07-07,movie,55.0,1.0,1.0,"Drama, Action, History",Nasser Azzeh,"Yousef Abu Yasin, Moayad Alatiyat, Nasser Azzeh, Hamzeh Azzeh, Adam Aburahmeh",JO,en,Camnema Pictures,When a young boy carving his way from slavery to freedom. he face challenges that will shape his future personality and decisions.,"epic, villain, love, bloody fight, angry young man, history and legacy, dramatic, running in the woods",0.0,0,"When a young boy carving his way from slavery to freedom. he face challenges that will shape his future personality and decisions. Drama, Action, History",0,0,0
Saint Helens,2026-01-01,movie,15.0,1.0,1.0,"Horror, History, Drama",Elijah Anthony,unknown,US,en,unknown,"Two lumberman meet in a bar to discuss their violent shared history, the morning after the eruption of Mt. St. Helens in 1980."," family,  short film, dark comedy, epic",0.0,0,"Two lumberman meet in a bar to discuss their violent shared history, the morning after the eruption of Mt. St. Helens in 1980. Horror, History, Drama",1,1,0
Deep Ties,2026-01-01,movie,11.0,1.0,1.0,,Morgan Inscoe,"Morgan Inscoe, Aaron Vazquez, Alyse Taylor",US,en,unknown,"Follows a college student coming back home after being at university. The comfort of friends, family, and having a piece of home mends the distance."," family,  short film, dark comedy",0.0,0,"Follows a college student coming back home after being at university. The comfort of friends, family, and having a piece of home mends the distance. ",1,0,0
Faust,2026-10-23,movie,15.0,1.0,1.0,"Drama, Horror, Fantasy",Leonardo Gomez,"Ryan Thomas, Mina Izaie, Fox Hughes, Megan Millis",US,en,"Three Sided Productions, Moving Pictures Productions","After making a deal with the devil, an isolated and unsatisfied professor uses supernatural means to achieve success and happiness at the cost of his soul."," family,  romance,  short film, dark comedy",0.0,0,"After making a deal with the devil, an isolated and unsatisfied professor uses supernatural means to achieve success and happiness at the cost of his soul. Drama, Horror, Fantasy",0,0,0
Xarax,2026-01-01,movie,13.0,1.0,1.0,"Horror, Mystery",Salil Jason Fernandez,"Neil Bhoopalam, Farzana Palathingal",IN,en,"Digital Rabbit, Earth Films, Veloche","A young priest visits a convent in Mumbai where a brutal exorcism has failed—what he finds inside is not just a demon, but a mirror to his own darkest desires.","based on myths, legends or folklore, short film, low budget, indian mythology, horror short film",0.0,0,"A young priest visits a convent in Mumbai where a brutal exorcism has failed—what he finds inside is not just a demon, but a mirror to his own darkest desires. Horror, Mystery",0,0,0
Toska,2026-02-01,movie,63.0,1.0,1.0,"Drama, Comedy",Marta Amirkhanyan,"Joel Rovira, Irene Vicho, Gad Sarpong Danquah, Hajar Hara, Adriana Ovsyannikov",ES,es,Grimza Studios,"After losing his best friend, Joel comes back to town, only to find out that his past is always following him."," family,  romance,  short film, dark comedy",0.0,0,"After losing his best friend, Joel comes back to town, only to find out that his past is always following him. Drama, Comedy",0,0,0
Celluloid,2026-02-14,movie,30.0,1.0,1.0,"Drama, Romance",Matthew Cancilla,Thomas Calaguiro,CA,en,House 723 Films,An upcoming Short Film written and directed by Matthew Cancilla," family,  romance,  short film, dark comedy",0.0,0,"An upcoming Short Film written and directed by Matthew Cancilla Drama, Romance",0,0,0
Icarus,2026-05-02,movie,8.0,1.0,1.0,Drama,Caleb Ard,Milton Lyles,US,en,unknown,"After a historic fall from grace, a legendary boxing coach hides his losing battle with cancer as he tries to restore his recently discharged prodigy, but he realizes his involvement may be more harmful than good for both parties."," family,  romance,  short film, dark comedy, epic",0.0,0,"After a historic fall from grace, a legendary boxing coach hides his losing battle with cancer as he tries to restore his recently discharged prodigy, but he realizes his involvement may be more harmful than good for both parties. Drama",1,0,0
Red Flag,2026-02-19,movie,118.0,1.0,1.0,"Drama, Mystery, Thriller",Ariza Yodhyan,"Kirana Anindya, Zhafran Alfarras, Haikal Rasyid, Nava Queena, Queen Latifa","ID, MY",id,"ICM Films, Ruchiat Production","Karin, a female student who attends the most modern Islamic boarding school in Indonesia. The Islamic boarding school allows its students to use gadgets for learning such as cellphones or laptops. One day, suddenly there was a rumor that Karin spread a selfie photo of herself naked in her dorm room. Even though it was just a rumor, people believed the gossip so much that Karin was shunned by her friends. Assisted by her secret boyfriend, Affan, the two of them tried to find out the truth about this gossip. And if the photo really exists, who faked the photo and spread it?"," family, dark comedy",0.0,0,"Karin, a female student who attends the most modern Islamic boarding school in Indonesia. The Islamic boarding school allows its students to use gadgets for learning such as cellphones or laptops. One day, suddenly there was a rumor that Karin spread a selfie photo of herself naked in her dorm room. Even though it was just a rumor, people believed the gossip so much that Karin was shunned by her friends. Assisted by her secret boyfriend, Affan, the two of them tried to find out the truth about this gossip. And if the photo really exists, who faked the photo and spread it? Drama, Mystery, Thriller",0,0,0
MAARU,2026-10-16,movie,164.0,1.0,1.0,"Thriller, Action, Mystery",Harsh Gogi,"Amit Kumar Bhatti (AKB), Lekh Raj, Vandana Sandhu, Sarwan Hans, Tajwinder Chouhan",IN,hi,"Studio Feedfront, Solo Knacks Cineverse, Rafi Sai Films","Maaru follows the riveting journey of an intense drama set in a world where survival is a constant battle. The film explores the lives of its characters as they face unforeseen challenges, with their destinies intertwining in a web of suspense and intrigue. A group of individuals finds themselves trapped in an unforgiving situation, where every decision could be their last. As secrets unfold and truths come to light, the boundaries between right and wrong blur, leading to shocking consequences. Set against a backdrop of power struggles, deceit, and personal vendettas, Maaru pushes its characters to their breaking points. The film is directed by Harsh Gogi, known for his ability to create suspenseful narratives, and promises a gripping experience that keeps the audience on the edge of their seats.","maaru, manimal, narbakhshi, harsh gogi, solo knacks, studio feedfront",0.0,0,"Maaru follows the riveting journey of an intense drama set in a world where survival is a constant battle. The film explores the lives of its characters as they face unforeseen challenges, with their destinies intertwining in a web of suspense and intrigue. A group of individuals finds themselves trapped in an unforgiving situation, where every decision could be their last. As secrets unfold and truths come to light, the boundaries between right and wrong blur, leading to shocking consequences. Set against a backdrop of power struggles, deceit, and personal vendettas, Maaru pushes its characters to their breaking points. The film is directed by Harsh Gogi, known for his ability to create suspenseful narratives, and promises a gripping experience that keeps the audience on the edge of their seats. Thriller, Action, Mystery",0,0,0
Forget-me-not,2026-10-31,movie,8.0,1.0,1.0,"Horror, Drama, Mystery",Josh Ray,"Matthew Overson, Helena Wigan",GB,en,unknown,Dean Carter's mind unravels while deciphering the mystery behind the disappearance of his fiancé.," family,  short film, dark comedy",0.0,0,"Dean Carter's mind unravels while deciphering the mystery behind the disappearance of his fiancé. Horror, Drama, Mystery",1,0,0
The Diary of Valeria,2026-03-01,movie,6.0,1.0,1.0,Drama,Athena Jey,Athena Jey,US,en,unknown,"This experimental short film is an adaptation of the fictional main character’s diary entry. This diary, belonging to a transgender woman named Valeria, deals with personal and existential anxieties about her body.","experimental, drama",0.0,0,"This experimental short film is an adaptation of the fictional main character’s diary entry. This diary, belonging to a transgender woman named Valeria, deals with personal and existential anxieties about her body. Drama",1,0,0
Headcrackin',2026-02-13,movie,117.0,1.0,1.0,"Thriller, Action, Drama",Lloyd Mori,Lloyd Mori,en,en,Arkadian LC,"In the last remaining state of North America as of 2041, a hired killer is given a chance at escape by a local crime boss in the city of Altaledo, the last bastion of the Americas now jostling for life under a firm rule of corporate governance and totalitarian control.",headcrackin,0.0,0,"In the last remaining state of North America as of 2041, a hired killer is given a chance at escape by a local crime boss in the city of Altaledo, the last bastion of the Americas now jostling for life under a firm rule of corporate governance and totalitarian control. Thriller, Action, Drama",0,0,0
Bitters,2026-02-15,movie,9.0,1.0,1.0,,Jane Melynn Chapman,"Dominique Marshall, Giovanna Borges, Colby Bell",US,en,unknown,"At the end of a lovely wedding rehearsal, the Maid of Honor gives a speech in a last-ditch attempt to win the love of the bride."," family,  short film, dark comedy",0.0,0,"At the end of a lovely wedding rehearsal, the Maid of Honor gives a speech in a last-ditch attempt to win the love of the bride. ",1,0,0
Polypharmakos,2026-01-01,movie,10.0,1.0,1.0,"Drama, Horror, Fantasy",Ameline Grout,"Ameline Grout, UNKNOW",FR,fr,unknown,"Every night, Guillaume encounters a mysterious presence — a feminine silhouette that seems to emerge from the darkness itself. Her eyes, a glowing orange, draw him into a world where reality and unreality blur. Little by little, a strange, unexplained, and irreversible bond forms between them. But each encounter leaves a mark on him, a memory that cannot be erased. Guillaume must face the invisible, without knowing whether what he’s seeking is truth or illusion.","feminism, horror",0.0,0,"Every night, Guillaume encounters a mysterious presence — a feminine silhouette that seems to emerge from the darkness itself. Her eyes, a glowing orange, draw him into a world where reality and unreality blur. Little by little, a strange, unexplained, and irreversible bond forms between them. But each encounter leaves a mark on him, a memory that cannot be erased. Guillaume must face the invisible, without knowing whether what he’s seeking is truth or illusion. Drama, Horror, Fantasy",1,0,0
